league_id,team_id,Team Name,player_api_id,player_name,Player Rating,Finishing,Acceleration,Interceptions,Marking,Positioning
7809,8165,SV Darmstadt 98,95082,Eric Maxim Choupo-Moting,79,79,78,42,27,81
7809,8165,SV Darmstadt 98,178818,Ilkay Guendogan,84,67,85,82,58,77
7809,8165,SV Darmstadt 98,27440,Marek Mintal,83,88,83,87,22,84
7809,8177,SV Darmstadt 98,30819,Arne Friedrich,84,39,85,77,86,83
7809,8177,SV Darmstadt 98,24104,Jaroslav Drobny,82,36,64,77,25,41
7809,8177,SV Darmstadt 98,30693,Josip Simunic,82,51,69,81,88,85
7809,8177,SV Darmstadt 98,13518,Lukasz Piszczek,83,68,85,84,81,73
7809,8177,SV Darmstadt 98,36788,Marko Pantelic,82,88,81,71,25,83
7809,8178,SV Darmstadt 98,49939,Arturo Vidal,86,79,83,88,83,82
7809,8178,SV Darmstadt 98,215168,Bernd Leno,84,25,61,27,25,25
7809,8178,SV Darmstadt 98,70409,Javier Hernandez,83,89,91,62,34,88
7809,8178,SV Darmstadt 98,208230,Karim Bellarabi,83,75,91,38,28,81
7809,8178,SV Darmstadt 98,30699,Michael Ballack,87,89,84,84,70,91
1729,8191,SV Darmstadt 98,24788,Brian Jensen,76,29,53,53,34,26
1729,8191,SV Darmstadt 98,214426,Danny Ings,76,79,90,39,33,79
1729,8191,SV Darmstadt 98,23190,David Nugent,78,84,86,71,22,81
1729,8191,SV Darmstadt 98,46008,Jack Cork,77,57,66,79,71,65
1729,8191,SV Darmstadt 98,191869,Kieran Trippier,76,54,84,75,77,66
1729,8191,SV Darmstadt 98,24372,Matthew Taylor,80,80,75,73,72,72
7809,8194,SV Darmstadt 98,30886,Andrey Voronin,81,86,87,75,33,84
7809,8194,SV Darmstadt 98,114963,Fabian Giefer,74,25,45,44,25,48
7809,8194,SV Darmstadt 98,40985,Johannes van den Bergh,73,32,78,70,71,63
7809,8194,SV Darmstadt 98,147726,Leon Balogun,73,34,69,74,71,56
7809,8194,SV Darmstadt 98,25644,Martin Latka,74,51,57,72,73,83
1729,8197,SV Darmstadt 98,30930,Esteban Cambiasso,86,70,83,92,87,93
1729,8197,SV Darmstadt 98,25818,Gokhan Inler,82,62,76,84,78,85
1729,8197,SV Darmstadt 98,286119,Jamie Vardy,79,82,91,51,54,83
1729,8197,SV Darmstadt 98,30633,Mark Schwarzer,81,25,50,68,25,52
1729,8197,SV Darmstadt 98,23818,Matthew Upson,82,22,80,75,85,78
1729,8197,SV Darmstadt 98,319300,N'Golo Kante,79,67,81,90,73,68
1,8203,SV Darmstadt 98,33657,Bjoern Vleminckx,73,83,66,74,32,81
1,8203,SV Darmstadt 98,148315,Christian Benteke,82,84,82,48,25,81
1,8203,SV Darmstadt 98,150968,Ivan Obradovic,73,59,82,70,72,68
1,8203,SV Darmstadt 98,41818,Jean-Francois Gillet,79,51,60,57,25,25
1,8203,SV Darmstadt 98,38792,Kevin Vandenbergh,73,83,70,58,25,83
1,8203,SV Darmstadt 98,26612,Mads Junker,75,86,80,65,28,82
7809,8226,SV Darmstadt 98,121633,David Alaba,85,63,87,86,83,77
7809,8226,SV Darmstadt 98,35411,Demba Ba,82,85,85,66,42,84
7809,8226,SV Darmstadt 98,30455,Heurelho Gomes,83,40,65,65,35,86
7809,8226,SV Darmstadt 98,30693,Josip Simunic,82,51,69,81,88,85
7809,8226,SV Darmstadt 98,30249,Kevin Kuranyi,83,90,81,74,27,82
7809,8226,SV Darmstadt 98,147729,Luiz Gustavo,83,46,78,86,80,72
7809,8226,SV Darmstadt 98,27320,Matthieu Delpierre,82,32,73,77,87,79
