league_id,season,team_api_id,team_long_name,avg_home_goals_team,avg_home_goals_league,avg_away_goals_team,avg_away_goals_league
4769,2011/2012,8689,"FC Lorient",1.05,1.34,0.79,1.55
4769,2011/2012,9853,"AS Saint-Étienne",1.42,1.34,1.16,1.55
4769,2011/2012,9874,"FC Sochaux-Montbéliard",1.11,1.34,1.00,1.55
4769,2012/2013,10249,"Montpellier Hérault SC",1.74,1.34,1.11,1.20
4769,2012/2013,4087,"Évian Thonon Gaillard FC",1.63,1.34,0.79,1.20
4769,2012/2013,8481,"AS Nancy-Lorraine",0.89,1.34,1.11,1.20
4769,2012/2013,9831,"OGC Nice",1.84,1.34,1.16,1.20
4769,2012/2013,9847,"Paris Saint-Germain",1.79,1.34,1.84,1.20
4769,2012/2013,9837,"Stade de Reims",1.05,1.34,0.68,1.20
4769,2012/2013,9851,"Stade Rennais FC",1.21,1.34,1.32,1.20
4769,2012/2013,9853,"AS Saint-Étienne",1.89,1.34,1.26,1.20
4769,2012/2013,9874,"FC Sochaux-Montbéliard",1.32,1.34,0.84,1.20
4769,2012/2013,10242,"ES Troyes AC",1.32,1.34,0.95,1.20
4769,2012/2013,7794,"SC Bastia",1.58,1.34,1.05,1.20
4769,2012/2013,8639,"LOSC Lille",1.68,1.34,1.42,1.20
